Provider_Name,Provider_Category,Newly_Added_Provider,Contract_Start_Date
GENTLE HAVEN LLC36562,Diagnostic Centre,0,1-Feb
GOLDEN GRAND HOMECARE LLC32336,Diagnostic Centre,0,1-Mar
GOLDEN MAPLE HOMES INC32179,Diagnostic Centre,0,1-Apr
GONDOLA GROUP INC25528,Diagnostic Centre,0,1-Jul
GONDOLA GROUP INC25861,Diagnostic Centre,1,1-Aug
GOOD SAM INVER GROVE HEIGHTS22,Diagnostic Centre,1,1-Oct
GREAT HOME MN AVIARY33375,Diagnostic Centre,0,1-Mar
GREAT HOME MN LLC33124,Diagnostic Centre,0,1-Apr
GREEN LIVING GROUP HOME LLC34689,Diagnostic Centre,1,1-May
HAPPY FEET FOOTCARE2914,Diagnostic Centre,0,1-Jun
HASTINGS SENIOR HEALTH AND LIV30651,Diagnostic Centre,0,1-Aug
HAVENWOOD OF BURNSVILLE AL35795,Single Speciality,1,1-Aug
HOME INSTEAD SENIOR CARE26156,Diagnostic Centre,1,1-Jun
HOME SWEET HOME OF MINNESOTA35378,Diagnostic Centre,0,1-Aug
HOMETOWN SENIOR LIVING OF ROSE27389,Diagnostic Centre,0,1-Sep
HOPE AND NEW LIFE HEALTH CARE31991,Diagnostic Centre,0,1-Nov
HOPE HEALTHCARE LLC35807,Diagnostic Centre,1,1-Aug
ICELAND MANOR25395,Diagnostic Centre,0,1-Mar
INTEGRA HOME CARE25579,Diagnostic Centre,0,1-May
INVER GLEN SENIOR LIVING30647,Diagnostic Centre,0,1-Jun
INVER GROVE HEIGHTS WHITE PINE30696,Diagnostic Centre,0,1-Aug
INVER GROVE HEIGHTS WP II LLC27377,Diagnostic Centre,0,1-Sep
JBS HOMES / (DBA) JACK DAWS PL35471,Diagnostic Centre,0,1-Aug
JUST THE PILL37950,Diagnostic Centre,0,1-Apr
KALEB INC21957,Diagnostic Centre,1,1-May
KINGSGATE STAFFING LLC34180,Diagnostic Centre,1,1-Jun
LAKELAND HOMECARE LLC33657,Diagnostic Centre,0,1-Aug
LAKEVIEW HOME HEALTH CARE36677,Diagnostic Centre,0,1-Sep
LAKEVIEW HOME HEALTH CARE INC35576,Diagnostic Centre,0,1-Oct
LEXINGTON POINTE SENIOR LIVING36651,Diagnostic Centre,1,1-Aug
LIFE REBUILDERS33138,Diagnostic Centre,0,1-Mar
LIFE REBUILDERS33139,Diagnostic Centre,1,1-Apr
LIVING HOPE HOMES BRENT HOUSE37945,Diagnostic Centre,0,1-Sep
LIVING WELL CARMEN21108,Diagnostic Centre,0,1-Oct
LIVING WELL HOSPITALITY LLC34382,Diagnostic Centre,1,1-Aug
MENDOTA HEIGHTS WP LLC29407,Diagnostic Centre,0,1-Jan
MERCY LINK LLC34231,Diagnostic Centre,0,1-Aug
MERCY LINK LLC36792,Diagnostic Centre,0,1-Apr
METRO CARE HUMAN SERVICES36917,Diagnostic Centre,0,1-Jun
MIDWEST RESIDENTIAL INC37548,Diagnostic Centre,0,1-Sep
MINNESOTA VALLEY SURGERY CTR24147,Diagnostic Centre,0,1-Mar
MORNINGSTAR CARE SERVICES LLC36203,Diagnostic Centre,0,1-Jun
NEW CHALLENGES INC25523,Single Speciality,0,1-Nov
NEW PERSPECTIVE - EAGAN23505,Diagnostic Centre,0,1-Aug
NOAH HOME CARE INC35988,Diagnostic Centre,0,1-Jan
NORTHFIELD HOSPICE2880,Diagnostic Centre,0,1-Apr
NOVACARE REHAB3745,Diagnostic Centre,0,1-May
OPEN ARMS LLC35020,Diagnostic Centre,0,1-Aug
OPEN ARMS LLC34510,Diagnostic Centre,0,1-Aug
OPTIONS RESIDENTIAL INC 85129797,Diagnostic Centre,0,1-Nov
PARK RIDGE APARTMENTS OF HASTI26858,Diagnostic Centre,0,1-Aug
PROF PORTABLE X RAY INC22086,Diagnostic Centre,0,1-Sep
REGINA ASSISTED LIVING30246,Diagnostic Centre,1,1-Nov
REGINA HOSPITAL30086,Diagnostic Centre,0,1-Jan
RELIEF HOMECARE LLC34740,Diagnostic Centre,0,1-Apr
RIDGES SURGERY CENTER LLC29969,Diagnostic Centre,1,1-Aug
ROSEMOUNT COURT26024,Diagnostic Centre,0,1-Sep
ROSEMOUNT HOME CARE27518,Diagnostic Centre,1,1-Oct
ROYAL HEALTH37416,Diagnostic Centre,0,1-Aug
ROYAL HEALTH34345,Diagnostic Centre,0,1-Mar
SENIOR FRIEND HOME CARE32100,Diagnostic Centre,1,1-Aug
SENIOR HELPERS25457,Diagnostic Centre,0,1-Aug
SENIORS CARING FOR SENIORS36068,Diagnostic Centre,1,1-Nov
SENIORS CARING FOR SENIORS36063,Diagnostic Centre,0,1-Jan
SERENDIPITOUS LIVING33766,Diagnostic Centre,1,1-Mar
SOUTHVIEW ACRES HEALTHCARE CTR102,Diagnostic Centre,1,1-Aug
SOUTHVIEW SENIOR LIVING24035,Diagnostic Centre,0,1-Aug
SPECTRUM COMMUNITY HEALTH INC21030,Diagnostic Centre,0,1-Oct
STONEHAVEN OF EAGAN SENIOR LIV33967,Diagnostic Centre,0,1-Jan
SUITE LIVING SR OF IGH36603,Diagnostic Centre,0,1-Aug
SYNERGYCARE LLC37696,Diagnostic Centre,0,1-Jun
TENDER CARE PROVIDERS LLC36678,Diagnostic Centre,0,1-Aug
TENDER CARE PROVIDERS LLC36088,Diagnostic Centre,0,1-Sep
THE CENTENNIAL HOUSE APPLE VAL20316,Diagnostic Centre,0,1-Oct
THE FOUNTAINS AT HOSANNA29049,Diagnostic Centre,0,1-Aug
THE GENEVA SUITES32699,Diagnostic Centre,0,1-Jan
THE GENEVA SUITES32138,Diagnostic Centre,0,1-Aug
THE MOMENTS OF LAKEVILLE33524,Diagnostic Centre,0,1-Sep
THE ROSEMOUNT32151,Diagnostic Centre,0,1-Oct
THE SANCTUARY AT WEST ST PAUL32587,Diagnostic Centre,0,1-Nov
TIMBER HILLS21981,Diagnostic Centre,0,1-Aug
TRINITY SUITES28776,Diagnostic Centre,0,1-Mar
TRUE CARE LIVING LLC35211,Diagnostic Centre,0,1-May
TWIN CITY WOUND & OSTOMY ASSOC26657,Diagnostic Centre,0,1-Jun
VISTA PRAIRIE AT RIVER HEIGHTS21008,Diagnostic Centre,1,1-Nov
WALKER METHODIST HIGHVIEW HILL30735,Diagnostic Centre,1,1-Jan
WALKER METHODIST WESTWOOD I30629,Diagnostic Centre,1,1-Aug
WALKER METHODIST WESTWOOD II28949,Diagnostic Centre,0,1-Mar
WALKER METHODIST WESTWOOD II27996,Diagnostic Centre,0,1-Apr
ZACHARY HOME HEALTH CORP33725,Diagnostic Centre,0,1-Jul
ZACHARY HOME HEALTH CORPORATIO23615,Diagnostic Centre,1,1-Aug
